input,answer
"A group of students are researching changes in climate in their region. Which of these would best provide evidence of changes in temperature and rainfall over a period of years?
A. tree rings
B. pollen samples
C. harvest production
D. carbon dating",A
"Which of these would help to prevent infections from occurring in small cuts and scrapes?
A. apply a cold ice pack
B. raise the injured area
C. apply pressure to stop bleeding
D. wash the area with warm, soapy water",D
"Which best describes why winds at the beach change direction between day and night?
A. because the temperatures over land and over water change
B. because warm air over land sinks and stays in place over land
C. because cool air rises and is replaced by warm air from the ocean
D. because cool air sinks and stays in place over land",A
"Soil erosion can be best prevented by
A. removing grass from the steepest slope.
B. building terraces into the sides of a slope.
C. heavily watering the vegetation on the slope.
D. increasing the slope of the land by adding more soil.",B
"Which of the following properties provides the BEST way to identify a mineral?
A. hardness
B. shape
C. size
D. temperature",A
"Which sequence represents the order of development for many plants?
A. seed develops inside fruit -> seed is dispersed -> seed germinates -> plant grows
B. seed is dispersed -> seed develops inside fruit -> seed germinates -> plant grows
C. seed germinates -> plant grows -> seed is dispersed -> seed develops inside fruit
D. seed is dispersed -> plant grows -> seed germinates -> seed develops inside fruit",A
"When ice cream is left out of a freezer, the ice cream changes from a ___.
A. solid to a gas
B. gas to a liquid
C. solid to a liquid
D. liquid to a gas",C
"Which equipment will best separate a mixture of iron filings and black pepper?
A. magnet
B. filter paper
C. triple-beam balance
D. voltmeter",A
"Which characteristic is shared by all cells?
A. They need energy.
B. They reproduce sexually.
C. They make their own food.
D. They move from place to place.",A
"On a small, isolated island, a hurricane destroyed all the trees that produced a large, hard-shelled nut. Which bird population would most likely decrease?
A. birds with long, probing beaks
B. birds with thick, strong beaks
C. birds with thin, short beaks
D. birds with large, pouch beaks",B
"A cow and a frog have similar bone structures in their forelimbs. Both have phalanges, radius, ulna, and humerus bones. However, the cow and frog are animals with very different life cycles from each other. Which most likely describes why the body structures of these animals are so similar?
A. Both have undergone similar mutations.
B. Both descended from a common ancestor.
C. Both reacted similarly to environmental pressures.
D. Both spread out from the same geographical region.",B
"A cell that is unable to import substances required to process chemical energy is most likely a result of a malfunctioning
A. cell membrane.
B. endoplasmic reticulum.
C. Golgi body.
D. nuclear envelope.",A
"Which best describes all unicellular organisms?
A. Every cell is round.
B. Every cell can make food.
C. Every cell can move on its own.
D. Every cell performs all life functions.",D
"When a transverse wave passes from right to left through a medium, what happens to the particles of the medium?
A. Particles travel from right to left along the wave.
B. Particles travel from left to right along the wave.
C. Particles move back and forth parallel to the wave.
D. Particles move back and forth perpendicular to the wave.",D
"Which characteristic below most likely accounts for our limited knowledge of galaxies?
A. their tiny size
B. their magnetic cores
C. their inability to produce light
D. their great distance from Earth",D
"Decomposers increase the fertility of the soil and prevent dead organisms from building up in the environment. In which way do decomposers make the soil more fertile?
A. by adding carbon
B. by adding nitrogen
C. by removing excess water
D. by removing excess minerals",B
"When oxygen combines with hydrogen, which substance is formed?
A. water
B. vinegar
C. hydrochloric acid
D. hydrogen dioxide",A
"When plants undergo photosynthesis, a reaction produces sugar, oxygen, and water. During respiration, stored energy from the products of photosynthesis is converted to usable energy. In what form is the energy stored prior to use in respiration?
A. chemical energy
B. kinetic energy
C. light energy
D. heat energy",A
"Which of the following is a typical example of a unicellular organism?
A. earthworm
B. bacteria
C. fungi
D. green algae",B
"Over geologic time, global mean sea level has varied significantly. Which change is most likely responsible for an increase in global mean sea level?
A. erosion of sediment from a mountain range
B. mass extinction of marine organisms
C. formation of an ocean trench
D. melting of polar ice caps",D
"Which body system is most responsible for the removal of waste?
A. skeletal system
B. nervous system
C. muscular system
D. excretory system",D
"In which environment is white fur color an advantage for survival?
A. desert
B. grassland
C. arctic tundra
D. temperate forest",C
"Which of these will best separate iron filings from sand?
A. water
B. a magnifying glass
C. a magnet
D. rubbing alcohol",C
"Which of these is the chemical symbol for magnesium?
A. Ma
B. Mg
C. Mn
D. Mu",B
"Which of the following is most likely to lead to error in an experiment?
A. bias
B. repeated trials
C. peer review
D. use of a control",A
"Which best describes transportation technology?
A. a system that is used to move people and products
B. an enterprise that changes raw materials into goods
C. the building and finishing of structures
D. the conversion of mechanical energy into heat energy",A
"In a gasoline-powered car, chemical energy from gasoline is transformed to make the car move. The motion of the car is what form of energy?
A. radiant energy
B. nuclear energy
C. electrical energy
D. mechanical energy",D
"Which characteristic is affected by interactions with the environment?
A. weight
B. eye color
C. blood type
D. handedness",A
"Which is the greatest impact humans have had on the carbon cycle?
A. clear-cutting forests
B. manufacturing plastics
C. burning fossil fuels
D. growing agricultural crops",C
"The floating arrow on a compass always points towards the
A. west.
B. east.
C. south.
D. north.",D
"Which color shirt will reflect the most light on a hot, sunny day?
A. black
B. blue
C. red
D. white",D
"A 10 g sample of aluminum and a 10 g sample of iron were each heated by 100 joules of energy. The temperature of the aluminum sample rose 11°C, while the temperature of the iron sample increased 23°C. Which statement best accounts for these results?
A. Iron is twice as dense as aluminum.
B. Atoms of aluminum are smaller than atoms of iron.
C. Using equal masses results in similar heat capacities.
D. The specific heat of iron is less than that of aluminum.",D
"If its food supply in a field decreases, the mouse population in that field will probably
A. increase.
B. decrease.
C. remain the same.
D. become extinct.",B
"Overuse of soil for farming causes local disruptions of several Earth subsystems. Which of these is a part of the biogeochemical cycle that experiences the most severe local disruption?
A. release of carbon into the atmosphere
B. release of oxygen into the atmosphere
C. cycling phosphorus into the soil
D. cycling hydrogen into the soil",C
"Which of the following is an example of a physical change but not a chemical change?
A. A log gives off heat and light as it burns.
B. A tree stores energy from the Sun in its fruit.
C. A penny lost in the grass slowly changes color.
D. A water pipe freezes and cracks on a cold night.",D
