input,answer
"Which metric unit is used to describe an object's length?
A. gram (g)
B. milliliter (mL)
C. centimeter (cm)
D. degree Celsius (°C)",C
"Which is a process that occurs during photosynthesis?
A. Plants take in oxygen and release sugar.
B. Plants take in sugar and release minerals.
C. Plants take in minerals and release carbon dioxide.
D. Plants take in carbon dioxide and release oxygen.",D
"The work of which scientist serves as the basis for many procedures used in agriculture, such as selective breeding of plants?
A. Darwin
B. Mendel
C. Einstein
D. Pasteur",B
"A student is investigating which type of soil is best for growing tomato plants from seeds. The student plants four tomato seeds in each of three different containers of soil. Which step of the procedure would help the student get the most reliable results?
A. Place one container in a dark room.
B. Use different types of tomato seeds.
C. Change only the soil type in each container.
D. Water each container with a different amount of water.",C
"In many caves, rock formations include stalactites and stalagmites. Where does the rock in these formations come from?
A. magma
B. rainwater
C. dissolved minerals
D. decaying organic matter",C
"A person named Leonardo da Vinci studied many things including animals, geology, clouds, and flight. His study of birds helped him design the first parachute. Everything he saw made him ask how and why. Which human quality most likely made this person want to study many different things?
A. duty
B. wisdom
C. kindness
D. curiosity",D
"What is the main reason we can see the Moon?
A. The Moon reflects light from the Earth.
B. The Moon reflects the light from the Sun.
C. The Moon produces its own light.
D. The Moon is larger than stars.",B
"Which of these events have the most influence on regional climate?
A. frequent tornadoes
B. ocean trade winds
C. winter snowstorms
D. temperature inversions",B
"If a scientist wants the medical community to revise old information and use new research findings in the treatment of a disease, it would be best to present the information
A. at a school science fair.
B. in a newspaper article.
C. at a physicians' conference.
D. in a television commercial.",C
"David planted ten corn seeds in sandy soil and ten corn seeds in clay soil. He kept both groups of plants at room temperature, gave them the same amount of water, and placed them all in the same sunny room. Which of the following questions is David most able to answer with his experiment?
A. How much soil and water do corn seeds need to grow?
B. Do corn plants grow better in sandy soil or in clay soil?
C. Do corn plants grown in sandy soil need more water than corn plants grown in clay soil?
D. What are the effects of soil, temperature, water, and sunshine on the growth of corn plants?",B
"Which geologic feature most likely forms when an oceanic tectonic plate is slowly subducted beneath a continental tectonic plate?
A. ocean trench
B. mid-ocean ridge
C. continental hot spot
D. continental rift valley",A
"A glacier retreats leaving bare rocks. Lichens begin to live on the rocks. The lichens produce an acid that starts to break down the rocks. How will this process affect the environment?
A. It will put acid into the lakes and ponds.
B. It will begin the process of building soil.
C. It will prevent the carbon cycle from occurring.
D. It will prevent bacteria from invading the ecosystem.",B
"During protein synthesis, mRNA is translated into three-base sequences representing amino acids. What signals the ribosome to begin translating the mRNA into a new amino acid sequence?
A. a codon
B. enzymes
C. a mutation
D. temperature",A
"Phobos is one of two large objects that orbit the planet Mars. Because Phobos orbits Mars, Phobos should be classified as which type of body?
A. asteroid
B. moon
C. comet
D. meteor",B
"Water at 20°C in an uncovered pan is evaporating very slowly. What could be done to the water to make it evaporate more quickly?
A. Cover it.
B. Heat it.
C. Place it in the dark.
D. Put salt in it.",B
"Which rapid changes are caused by heat from inside Earth?
A. landslides
B. volcanoes
C. avalanches
D. floods",B
"Which tool is most responsible for preventing future pandemics of smallpox?
A. worldwide vaccination for smallpox
B. global education about smallpox
C. better worldwide urban sanitation
D. improved global quarantine facilities",A
"After which event will ecological succession most likely happen?
A. a forest fire
B. a thunderstorm
C. a high tide
D. a lunar eclipse",A
"Sir Isaac Newton determined that white light is made up of all the colors of the rainbow. What did he use to discover this phenomenon?
A. a prism
B. a telescope
C. a microscope
D. a magnifying glass",A
"Which characteristic is most common among animals living in a cold climate?
A. layers of fat
B. thick bones
C. slow digestion
D. large lungs",A
"Species are classified based on their characteristics. Which characteristic identifies two organisms as members of one species? The organisms
A. can produce fertile offspring.
B. can communicate easily.
C. will defend their territory.
D. will move from place to place.",A
"A student hypothesizes that the amount of water a plant receives will affect how long it grows before reaching maturity. To test this hypothesis, the student will need
A. several digital scales.
B. a wet paper towel.
C. several identical plant seeds.
D. different sizes of containers.",C
"One example of matter is
A. sound
B. light
C. heat
D. water",D
"If a classroom experiment involves the use of several unidentified chemical solutions, which factor would be most important in maintaining safety during the experiment?
A. The classroom would be fairly cold.
B. The classroom would have poor lighting.
C. The classroom would have good ventilation.
D. The classroom would have carpet on the floors.",C
"Vein deposits of gold and silver are often formed in areas that have experienced which geologic process?
A. igneous intrusion
B. transport by water
C. chemical weathering
D. compaction by pressure",A
"Cells that conduct messages are known as
A. skin cells
B. nerve cells
C. blood cells
D. kidney cells",B
"The boiling of water results in a physical change in matter from
A. solid to liquid.
B. gas to solid.
C. solid to gas.
D. liquid to gas.",D
"What do playing a guitar, banging a drum, and dropping a pebble in the water have in common?
A. They all produce light.
B. They all cause vibrations.
C. They all convert heat to energy.
D. They all need gravity to move.",B
"At room temperature, what state of matter is copper?
A. gas
B. solid
C. liquid
D. plasma",B
"All of the following events occur during prophase in mitosis except
A. pairing of chromosomes.
B. spindle formation.
C. crossing over.
D. condensation of DNA.",C
"A seed of a plant sticks to the fur of an animal as it walks by. How has the animal most likely helped the plant?
A. by spreading the seed
B. by sprouting the plant
C. by scattering the pollen
D. by fertilizing the ground",A
"Which part of a plant is used to absorb sunlight during photosynthesis?
A. leaf
B. root
C. seed
D. flower",A
"You wish to closely observe a small insect. Which tool is the best to use?
A. a balance
B. a test tube
C. a telescope
D. a magnifying glass",D
"The interaction of the skeletal and muscular systems to produce locomotion is coordinated by which human body system?
A. circulatory
B. excretory
C. nervous
D. respiratory",C
"A student flips a coin four times. It lands ""heads"" up three times. The student concludes that the coin will land ""heads"" up three times out of four. What will make the conclusion more accurate?
A. substituting a different coin
B. flipping the coin twenty more times
C. taping a weight to one side of the coin
D. flipping the coin over a smoother surface",B
"Which mineral has six-sided transparent crystals that will scratch glass?
A. sulfur
B. quartz
C. calcite
D. feldspar",B
"Which best describes a proton?
A. negatively charged and has a negligible mass
B. negatively charged and part of the nucleus
C. positively charged and part of the nucleus
D. negatively charged and orbits the nucleus",C
"The difference between the atomic number of an element and the element's atomic mass is the number of
A. ions.
B. protons.
C. electrons.
D. neutrons.",D
"Which step will most likely ensure that the results of an investigation are valid?
A. using a computer to graph results
B. verifying that results match the original hypothesis
C. comparing the results with those of other scientists
D. eliminating any results that appear to be abnormal",C
"What is formed when a sodium atom and chlorine atom react chemically?
A. an element
B. a compound
C. an electron
D. a neutron",B
"Which of these is an example of an endothermic process?
A. fireworks display
B. glowing light stick
C. first-aid instant cold pack
D. gasoline-burning car engine",C
"The distance from Earth to the Sun is about 150,000,000 km. What abbreviation do scientists use to describe this distance?
A. meters per second (m/s)
B. light-year (ly)
C. astronomical unit (AU)
D. electromagnetic unit (EMU)",C
"In New York State, the longest period of daylight occurs during which month?
A. June
B. March
C. December
D. September",A
"Which trait does a puppy inherit from its parents?
A. fur color and pattern
B. obedience to commands
C. food brand preferences
D. affection for a specific home",A
"Which material is most easily recycled at school?
A. plastic wrap
B. notebook paper
C. ice cream sticks
D. rubber erasers",B
"Plants make sugars in the presence of sunlight in a process called photosynthesis. What form of carbon do the plants take in for this process?
A. glucose molecule
B. carbon dioxide
C. single carbon atoms
D. complex organic compounds",B
"The sun is a star of average size and brightness. From Earth, the sun appears as a round, yellow object in the daytime sky. At night, we see other stars. They appear as tiny points of light. Why does the sun appear larger than stars that we see at night?
A. Daylight brightens the sun, making it appear larger.
B. Starlight bends as it passes planets, making the stars appear smaller.
C. The sun is closer to Earth than other stars, making the sun appear larger.
D. Earth's atmosphere filters out light from other stars, making them appear smaller.",C
"A drain cleaner consists of sodium hydroxide and aluminum. When the drain cleaner is added to water, bubbles of hydrogen are produced, and the solution becomes very hot. Which of these best describes what happens to form the bubbles when the cleaner is added to water? F
A. chemical reaction
B. Condensation
C. A physical change
D. Evaporation",A
"John has diabetes. Which of the following should he be careful about eating or drinking?
A. beef
B. eggs
C. milk
D. fruit juice",D
"Within a substance, atoms that collide frequently and move independently of one another are most likely in a
A. liquid.
B. solid.
C. gas.
D. crystal.",C
"Which object best reflects light?
A. gray door
B. white floor
C. black sweater
D. brown carpet",B
"The gravitational attraction of the Moon causes which effect on Earth?
A. ocean tides
B. time of day
C. energy from the Sun
D. phases of the Moon",A
"A forest was cleared for the building of a resort, but before construction began, secondary succession set in. Which of these describes why secondary succession appeared so rapidly?
A. The clearing allowed mosses to grow quickly.
B. Rock weathering occurred for lichens to grow.
C. Exposed substrates allowed microbes to grow.
D. The soil components remained for plants to grow.",D
"Which object is made to reflect light?
A. telescope
B. window
C. mirror
D. eyeglasses",C
"A car may produce many forms of energy from the fuel it uses. Which indicates that a car does not use fuel with 100% efficiency?
A. The car changes speed.
B. The car engine gets hot.
C. The car stops quickly.
D. The car slides on slippery streets.",B
"After nitrogen becomes part of the lithosphere, what is the next change that nitrogen will undergo?
A. used as a nutrient by plants
B. fixed by bacteria in the soil
C. converted into oxygen
D. absorbed into the atmosphere by lightning",B
"Which of the following would be more likely to pollute a river?
A. allowing beavers to build a dam
B. spreading fertilizer near the river
C. mowing the grass on the river bank
D. fishing from a bridge over the river",B
"For two organisms to be classified as the same species, they must produce offspring that are
A. fertile.
B. adaptable.
C. alive at birth.
D. identical to the parents.",A
"Which sentence best describes the organization of the heart?
A. The heart is an organ made up of different types of tissues, each of which has different types of cells.
B. The heart is a tissue made up of different types of organs, each of which has different types of cells.
C. The heart is a system made up of one type of tissue and identical cells.
D. The heart is a tissue made up of one type of organ and identical cells.",A
"Which stage in the reptile life cycle is most like the birth of a lion cub?
A. hatching from an egg
B. shedding the skin
C. hunting for food
D. finding a mate",A
"What would be the best way to determine the role of squirrels in a forest ecosystem?
A. measure the length and mass of several squirrels
B. determine the genes that control squirrel traits
C. make field observations of squirrels in their natural habitat
D. read articles about the energy and nutrient requirements of squirrels",C
"Which of the following systems breaks food into nutrients that can be used by the body?
A. circulatory
B. digestive
C. respiratory
D. reproductive",B
"Barry collected four different rocks. The rock with the GREATEST mass will feel the ___.
A. heaviest
B. smoothest
C. sharpest
D. hardest",A
"Which of the following is not an inherited trait of humans?
A. eye color
B. hair color
C. favorite food
D. height",C
"When a person chews, saliva from the mouth mixes with starches in food. These starches begin to turn into sugars. Changing starches into sugars is best described as
A. a phase change.
B. a cellular change.
C. a physical change.
D. a chemical change.",D
"Which of these renewable resources results in an increase in pollution when used to produce energy?
A. water
B. wind
C. biomass
D. geothermal",C
"Granite is an igneous rock. Which of these describes what usually happens to granite after it is weathered, broken into small particles, buried deep underground, and compacted?
A. The granite becomes a new rock type.
B. The granite forms an active volcano.
C. The granite becomes part of a deep fault.
D. The granite forms a tall mountain.",A
"The features below are all present on Earth. Which feature could also be found on the Moon?
A. crater
B. clouds
C. electrical storms
D. nitrogen based atmosphere",A
"What is the highest temperature that water can reach in a pot on a stove?
A. 50°C
B. 90°C
C. 100°C
D. 212°C",C
"In 2004 the Hubble space telescope captured images of distant star clusters, each containing about a million stars. These star clusters were most likely part of which structure?
A. a black hole
B. a galaxy
C. a nebula
D. a solar system",B
"Where is most of the mass of the atom located?
A. in the protons
B. in the nucleus
C. in the neutrons
D. in the electrons",B
"Which situation is the best example of ecological succession?
A. An organism survives a difficult winter.
B. The populations in an area remain the same.
C. One species replaces another species in an ecosystem.
D. Each of several species uses the same amount of resources.",C
"The BEST way to tell the DIFFERENCE between an oak and a maple tree is to compare the
A. height of both trees.
B. number of leaves on the trees.
C. size of the root systems of the trees.
D. shape of the leaves.",D
"Which example describes a learned behavior in a dog?
A. smelling the air for odors
B. barking when disturbed
C. sitting on command
D. digging in soil",C
"In a lab investigation, a student notes that two metal blocks have the same mass. Based on this observation, if the two blocks were put on opposite sides of a balance, they would best represent
A. balanced forces.
B. unbalanced forces.
C. equal and opposite reactions.
D. objects in motion.",A
"A scientist was investigating why several fish caught from a local stream displayed similar mutations. He found that the water temperature of the stream was elevated since an industrial plant began discharging heated water into the stream. The scientist concluded that increased water temperature during the egg phase led to the mutation in the fish. According to this conclusion, the mutation was caused by
A. an autoimmune disorder.
B. a congenital defect.
C. an environmental condition.
D. an injury from a predator.",C
"Solar radiation has a part in the water cycle by
A. affecting ocean tides.
B. helping in the absorption of groundwater.
C. determining the type of clouds formed.
D. changing water to a vapor.",D
"A student sets a block at the top of a wooden ramp. The student pushes the block. As the block slides down the ramp, it slows down and then comes to a stop. What force causes the block to slow down?
A. the force of gravity
B. the force of friction
C. the force of magnetism
D. the force of the student's push",B
"Which of these explains how a trench can form?
A. two oceanic plates converging
B. two continental plates converging
C. two continental plates diverging
D. two oceanic plates diverging",A
"Pepsin is an enzyme that acts in the stomach for protein digestion. Which of these is most likely the main role of pepsin in this metabolic reaction?
A. to speed up the rate of reaction
B. to reduce the loss of energy as heat
C. to control the direction of the reaction
D. to protect the reaction from other chemicals",A
"Sodium chloride, commonly called ""table salt,"" is made up of sodium and chlorine that have been combined chemically. Which term best describes sodium chloride?
A. Acid
B. Atom
C. Element
D. Compound",D
"Katia was listening to music on the radio. In order for the sound to be produced, the electrical energy must be converted into which type of energy?
A. thermal energy
B. magnetic energy
C. chemical energy
D. mechanical energy",D
"Studies of snail fossils in Egypt indicate that areas of Egypt that are now desert were once thriving savannahs approximately 130,000 years ago. What does the presence of these fossils indicate about the area of Egypt that was thriving 130,000 years ago?
A. There was more humidity in the air.
B. There were fewer nutrients in the soil.
C. There was more snowfall in the region.
D. There was less solar radiation in the region.",A
"Which statement identifies an energy source as renewable?
A. Oil, because it is found underground.
B. Wind, because it is always available.
C. Water, because it is becoming scarce.
D. Coal, because it was formed from plants.",B
"A wet towel will dry when it is left in the Sun. Which process occurs to make this happen?
A. melting
B. boiling
C. condensation
D. evaporation",D
"Otto pushed a toy car across a floor. The car traveled fast across the wood, but it slowed to a stop on the carpet. Which best explains what happened when the car reached the carpet?
A. Inertia decreased.
B. Gravity increased.
C. Friction increased.
D. Magnetism decreased.",C
"Eye color is a physical trait. Which statement best explains why a child has a specific eye color?
A. Eye color is a learned trait.
B. Eye color is an inherited trait.
C. Eye color is a trait that changes over time.
D. Eye color is a trait that happens by chance.",B
"Manganese has an atomic number of 25 and an atomic mass of 55 amu. How many particles are found in its nucleus?
A. 25
B. 30
C. 55
D. 80",C
"Students researched monkeys at a zoo. They recorded the monkeys' traits and behaviors. This investigation activity is best described as
A. controlling.
B. hypothesizing.
C. observing.
D. inferring.",C
"The fur of an arctic fox turns from brown to white as winter approaches. This is an example of
A. camouflage
B. hibernation
C. migration
D. movement",A
"Which is an example of a chemical change?
A. a rusting car fender
B. a spinning top
C. a spilled bucket of water
D. a melting popsicle",A
"Which statement is describing climate?
A. It snowed 12 centimeters last night.
B. Last winter was colder than normal.
C. There is a thunderstorm watch for the local area.
D. The temperature will be between 32°C and 37°C all week.",B
"Scientists have categorized trees based on whether they keep or lose their leaves each year. Another logical way to categorize trees is based on the
A. types of nutrients needed to grow.
B. amount of oxygen that is released into the air.
C. color of leaves that are produced.
D. type of fruit that is produced.",D
"Which resource is considered nonrenewable?
A. wind power
B. solar energy
C. moving water
D. fossil fuels",D
"Sand and iron particles that are similar in size and color are mixed together in a beaker. What would be the best method of separating the particles?
A. Use tweezers to separate them.
B. Use a magnet to separate them.
C. Add water to the mixture.
D. Pour the mixture into a filter.",B
"Which habitat on Earth would probably 28 add the greatest amount of water to the water cycle through evaporation?
A. cold lake
B. desert sand
C. warm ocean
D. mountain rock",C
"Which of these actions will change a sedimentary rock, such as limestone, into a metamorphic rock, such as marble?
A. pressure from a glacier
B. heat from magma
C. erosion from flowing water
D. radiation from the Sun",B
"A loaf of bread is baking in a pan in a 350° F oven. What would cause a burn to a hand the quickest because of its low specific heat?
A. the metal pan
B. the air in the oven
C. the surface of the bread
D. the outside of the oven door",A
"A student poured some sugar into a glass of water. After the water was stirred, no solid sugar remained in the glass. Which statement best describes what happened?
A. The sugar reacted with water to form elements.
B. The sugar reacted with water to form a mixture.
C. The sugar dissolved in water to form a solution.
D. The sugar dissolved in water to form compounds.",C
"The magnitude of the gravitational force between two planets depends on the
A. speed the planets rotate.
B. other nearby planets.
C. volume of the planets.
D. distance between the planets.",D
"The fossils that are found in the oldest layers of sedimentary rock were formed which types of organisms?
A. only organisms that lived in the sea
B. only organisms that lived on land
C. only organisms that lived in the air
D. organisms that lived on the land, in the sea and in the air",A
"A snail's shell provides the snail with
A. food.
B. energy.
C. protection.
D. transportation.",C
"Since green plants make their own food, they are called
A. predators
B. prey
C. decomposers
D. producers",D
"Which metalloid is used in solar cells and computer chips?
A. silicon
B. silver
C. arsenic
D. antimony",A
"The best evidence that two land areas were once connected is the discovery that both land masses
A. have the same climate.
B. are in the same stage of succession.
C. exist along the same line of longitude.
D. have similar types of rocks and fossils.",D
"Rachel purchased a kit for making a skateboard ramp. Which of the following is most important to have for putting the ramp together?
A. a picture showing the colors of different ramp parts
B. a diagram showing some ways to use the ramp
C. a list of prices for other available kits
D. a set of instructions for the kit materials",D
"What is the smallest particle of the element gold (Au) that can still be classified as gold?
A. atom
B. molecule
C. neutron
D. proton",A
"Which best describes the function of the small intestine?
A. oxygenation of tissue
B. excretion of toxic wastes
C. transportation of blood cells
D. digestion and absorption of food",D
"A forest is flooded when a natural dam breaks, leaving the forest floor under two meters of water. Which animal is most affected by the flooding?
A. a crow
B. a rabbit
C. a squirrel
D. a butterfly",B
"Which object will most likely be attracted to a magnet?
A. wooden block
B. plastic cup
C. metal nail
D. glass bead",C
"At what temperature does pure water boil?
A. 0°C
B. 32°C
C. 100°C
D. 212°C",C
"Animals that eat both plant matter and meat are referred to as
A. decomposers.
B. scavengers.
C. herbivores.
D. omnivores.",D
"Corals are animals that live in tropical oceans. Fossils of corals are found in Ohio. What does the presence of coral fossils suggest about how the environment of Ohio has changed over time?
A. Ohio was once covered by warm seas.
B. A large glacier once passed over Ohio.
C. The average rainfall in Ohio is now much more than it once was.
D. The average temperature in Ohio is now much warmer than it.",A
"Alex looked at an electric toothbrush that had a plug with three metal prongs. Why are these prongs made out of metal?
A. Metal doesn't get hot and melt when you plug it into the outlet.
B. Metal is strong and is less likely to break when you plug it into the outlet.
C. Metal is an insulator and prevents shocks when you plug it into the outlet.
D. Metal is a conductor and completes a circuit when you plug it into the outlet.",D
"Where is an igneous rock such as pumice most likely formed?
A. in a desert
B. in a creek bed
C. near a volcano
D. under a glacier",C
"Why are many telescopes used far from cities?
A. The light from the cities makes it hard to see stars.
B. The noise from the cities vibrates the telescopes.
C. The power lines from the cities produce interference waves.
D. The pollution from the cities reflects starlight.",A
"Where do plants get energy from to make food?
A. air
B. soil
C. water
D. sunlight",D
"Which of the following is most likely to cause water to change from one state of matter to another state of matter?
A. increased precipitation
B. the weathering of rocks
C. a decrease in wind speed
D. a change in air temperature",D
"When a soccer player kicks a ball, which two systems work directly with the muscular system?
A. immune and excretory
B. digestive and respiratory
C. nervous and skeletal
D. circulatory and integumentary",C
"Which two activities are carried out by all species of living things?
A. make food and eliminate waste
B. hibernate and take in nutrients
C. grow and reproduce
D. migrate and seek shelter",C
"Which best explains why a person infected with bacteria may have a fever?
A. The body is responding to fight off the bacteria.
B. The body is releasing waste material from the bacteria.
C. The body is producing hormones to kill the infection.
D. The body is reducing the blood supply to the infection site.",A
"Most of the concentration of which gas results from the activity of producer organisms?
A. nitrogen
B. oxygen
C. water vapor
D. carbon dioxide",B
"What is determined by the speed that Earth rotates on its axis?
A. the length of a day
B. the energy that reaches a location
C. the temperature of water in the ocean
D. the number of seasons in a year",A
"The spectrum of visible light can be seen in a rainbow because white light is
A. reflected and transmitted.
B. refracted and dispersed.
C. absorbed and diffracted.
D. produced and emitted.",B
"Kate sees a full moon. About how much time will go by before the next full moon?
A. one week
B. two weeks
C. one month
D. one year",C
"The sediments found in a riverbed are most likely a result of which action on nearby rock?
A. heat
B. faulting
C. pressure
D. weathering",D
"The most common way humans contribute to the extinction of organisms is by
A. rotation of crops.
B. use of fertilizers.
C. destruction of habitat.
D. introduction of competing species.",C
"Which of the following is an example of matter changing state?
A. heating a pan of water until the water is all gone
B. putting a soft-drink can in the refrigerator to cool it
C. heating soup on the stove until it is hot to your tongue
D. transferring sugar into a storage container",A
"A car runs out of fuel while traveling on a level road and eventually comes to a stop. Which of the following best explains why the car stops?
A. Some of the energy of the car was lost to friction.
B. Some of the energy of the car was destroyed.
C. The amount of kinetic energy increased.
D. The amount of useful energy increased.",A
"Which of the following best represents one particular stage in a life cycle?
A. a fish swimming
B. a seed sprouting
C. a leaf growing
D. a dog eating",B
"Which process of the water cycle transports water from plants to clouds?
A. precipitation
B. transpiration
C. condensation
D. sublimation",B
"Sulfur scrubbers are devices installed in coal-fired power plants. Sulfur scrubbers reduce the emission of sulfur dioxide. What environmental problem are sulfur scrubbers most likely trying to address?
A. ozone
B. erosion
C. acid rain
D. nutrient runoff",C
"Which system of the human body provides protection to most of the major organs?
A. skeletal system
B. circulatory system
C. respiratory system
D. muscular system",A
"A scientist developed a model that described the actions of DNA in the cell nuclei, which helped explain how traits were inherited. Which scientist helped develop this model?
A. Bohr
B. Hooke
C. Mendel
D. Watson",D
"Which item is designed to change electrical energy into heat energy?
A. Alarm clock
B. Hand dryer
C. Fan
D. Telephone",B
"Which characteristic is the best example of an inherited trait?
A. eye color
B. an infection
C. knowledge of soccer
D. length of hair",A
"Which correctly arranges three scientific terms-theory, law, and hypothesis-from least to most accepted or tested?
A. theory, hypothesis, law
B. hypothesis, law, theory
C. theory, law, hypothesis
D. hypothesis, theory, law",D
"The metal lid on a glass jar is hard to open, so it is held under warm, running water. What causes the jar to open easily after it was held under the water?
A. The water increased the pressure under the lid.
B. The jar shrunk with the warm water.
C. The water acted as a lubricant between the glass and the metal.
D. The metal lid expanded under warm water.",D
